Age,Edu,JobExp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,QW1,QW2,QW3,QW4,QW5
30 – 34,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Often,Rarely,Often,All of the time,None of the time,All of the time,Some of the time,None of the time,All of the time,All of the time,All of the time,All of the time,Rarely,More than half of the time,At no time,Some of the time,Some of the time,Less than half of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,None of the time,All of the time,Rarely,Some of the time,All of the time,Rarely,Often,All of the time,All of the time,All of the time,Most of the time,More than half of the time,Some of the time,Some of the time,All of the time
35 – 39,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,All of the time,Some of the time,Often,Some of the time,Often,All of the time,Often,Rarely,Rarely,Often,Often,Some of the time,Rarely,More than half of the time,Most of the time,More than half of the time,More than half of the time,Some of the time
20 – 24,Other,6 – 10 years (Mid-career professionals),Some of the time,Rarely,Some of the time,All of the time,Often,All of the time,Often,Often,None of the time,Rarely,All of the time,Often,All of the time,All of the time,Less than half of the time,At no time,More than half of the time,Most of the time,Most of the time
35 – 39,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,All of the time,Often,Some of the time,Some of the time,Rarely,Often,All of the time,Often,None of the time,Some of the time,All of the time,All of the time,Most of the time,Less than half of the time,More than half of the time,Less than half of the time,Some of the time
55 – 59,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,Some of the time,Some of the time,All of the time,Some of the time,Rarely,All of the time,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,More than half of the time,Most of the time,Less than half of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Often,Rarely,All of the time,All of the time,All of the time,Often,Some of the time,Often,All of the time,Often,All of the time,Rarely,All of the time,Rarely,More than half of the time,Some of the time,Most of the time,Less than half of the time,Some of the time
25 – 29,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,Often,More than half of the time,At no time,Most of the time,Some of the time,All of the time
25 – 29,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,Some of the time,Often,Often,Rarely,All of the time,Some of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Some of the time,Most of the time,Less than half of the time,Some of the time,More than half of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,All of the time,All of the time,Often,Some of the time,All of the time,Rarely,All of the time,All of the time,Rarely,Often,Rarely,Rarely,Often,Some of the time,Less than half of the time,Less than half of the time,Less than half of the time,Some of the time
30 – 34,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,Rarely,All of the time,All of the time,Often,Rarely,Often,All of the time,Often,Often,Some of the time,All of the time,Some of the time,More than half of the time,Most of the time,Some of the time,Most of the time,Some of the time
40 – 44,Professional Degrees,"11 – 15 years (Senior professionals, mid-level managers)",Often,All of the time,Some of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Less than half of the time,More than half of the time,Less than half of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,Some of the time,All of the time,Rarely,Often,Rarely,All of the time,All of the time,All of the time,Some of the time,Some of the time,Often,Often,Some of the time,More than half of the time,Some of the time,Less than half of the time,Most of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Often,All of the time,Some of the time,Some of the time,All of the time,All of the time,Often,All of the time,Often,All of the time,Often,Rarely,Rarely,Some of the time,Less than half of the time,Some of the time,More than half of the time,Some of the time
35 – 39,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,Some of the time,All of the time,Often,Often,All of the time,Some of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time
40 – 44,Postgraduate Degree,3 – 5 years (Junior professional stage),Some of the time,All of the time,All of the time,Often,Some of the time,All of the time,Some of the time,Some of the time,Often,Often,Some of the time,All of the time,Often,None of the time,Less than half of the time,Most of the time,Less than half of the time,More than half of the time,Most of the time
30 – 34,Diploma/Technical,Less than 1 year (Entry-level/freshers),Some of the time,Rarely,Some of the time,All of the time,Often,Often,All of the time,All of the time,All of the time,Some of the time,Often,All of the time,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time,Some of the time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,None of the time,None of the time,Rarely,Rarely,Rarely,All of the time,Often,None of the time,Often,Often,Often,Often,None of the time,All of the time,Some of the time,More than half of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),Rarely,All of the time,None of the time,Often,All of the time,All of the time,Rarely,Rarely,All of the time,Often,Often,Often,None of the time,Rarely,Less than half of the time,More than half of the time,Less than half of the time,More than half of the time,Most of the time
30 – 34,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,All of the time,Often,Often,None of the time,Often,Rarely,Some of the time,Often,All of the time,Rarely,Often,All of the time,Some of the time,Some of the time,More than half of the time,Less than half of the time,More than half of the time,Some of the time
30 – 34,Bachelor’s Degree,1 – 2 years (Early career),Often,All of the time,Often,Some of the time,All of the time,Some of the time,Often,Some of the time,All of the time,All of the time,Some of the time,Rarely,All of the time,Often,More than half of the time,Some of the time,More than half of the time,Some of the time,Less than half of the time
30 – 34,Higher Secondary,1 – 2 years (Early career),All of the time,Rarely,Some of the time,All of the time,Often,All of the time,Often,Often,All of the time,All of the time,All of the time,Often,All of the time,All of the time,Most of the time,Less than half of the time,Some of the time,Some of the time,More than half of the time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,More than half of the time
30 – 34,Bachelor’s Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,Some of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Rarely,Often,All of the time,Often,Some of the time,Less than half of the time,Some of the time,Less than half of the time,Less than half of the time
20 – 24,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,Rarely,Rarely,Rarely,Often,Often,All of the time,Often,Rarely,Some of the time,Rarely,All of the time,All of the time,Most of the time,Some of the time,More than half of the time,Some of the time,Most of the time
